time_iso8601,stars_cumulative
2022-09-13 00:00:00+00:00,1
2022-10-02 00:00:00+00:00,2
2022-10-24 00:00:00+00:00,3
2022-11-22 00:00:00+00:00,4
2022-11-24 00:00:00+00:00,5
2022-11-27 00:00:00+00:00,6
2022-11-29 00:00:00+00:00,7
2022-12-02 00:00:00+00:00,8
2022-12-03 00:00:00+00:00,9
2022-12-11 00:00:00+00:00,10
2022-12-13 00:00:00+00:00,11
2023-01-19 00:00:00+00:00,12
2023-01-22 00:00:00+00:00,13
2023-02-02 00:00:00+00:00,14
2023-02-19 00:00:00+00:00,15
2023-02-21 00:00:00+00:00,16
2023-02-25 00:00:00+00:00,17
2023-03-02 00:00:00+00:00,18
2023-04-06 00:00:00+00:00,19
2023-04-21 00:00:00+00:00,20
2023-06-10 00:00:00+00:00,21
2023-06-13 00:00:00+00:00,22
2023-06-15 00:00:00+00:00,23
2023-07-30 00:00:00+00:00,25
